Player	Team	Games	Position	TurnoverPct	ReboundPct	AssistPct	FieldGoalPct
Kyle Lowry	TOR	60	PG	13.8	7.3	29.9	46.400000000000006
John Lucas	MIN	5	PG	0	0	12.5	25
Timothe Luwawu-Cabarrot	PHI	69	SF	15	6.9	9.6	40.2
Trey Lyles	UTA	71	PF	11.9	11.7	9.6	36.199999999999996
Shelvin Mack	UTA	55	PG	17.8	6.1	20.4	44.6
Ian Mahinmi	WAS	31	C	19.1	15.2	4.7	58.599999999999994
Thon Maker	MIL	57	C	7.7	11.8	6.2	45.9
Boban Marjanovic	DET	35	C	6	24.2	5.3	54.50000000000001
Jarell Martin	MEM	42	PF	13.9	16.6	2.2	38.4
Wesley Matthews	DAL	73	SG	9.9	6	13.6	39.300000000000004
Luc Mbah	LAC	80	SF	10.1	5.4	3.1	50.5
James Michael	GSW	52	PF	12.3	10.8	4.9	53
Patrick McCaw	GSW	71	SG	12.1	5.2	9	43.3
Sheldon McClellan	WAS	30	SG	5.4	6.7	7	40
C.J. McCollum	POR	80	SG	9.9	5.8	18	48
T.J. McConnell	PHI	81	PG	22.4	6.5	37.5	46.1
Chris McCullough	TOT	16	PF	8.1	12.7	4.4	50
Chris McCullough	BRK	14	PF	5.8	12.5	4.9	51.6
Chris McCullough	WAS	2	PF	34.7	14.1	0	0
K.J. McDaniels	TOT	49	SF	13.5	8.7	4	45.6
K.J. McDaniels	HOU	29	SF	12.1	7.7	2.7	45.6
K.J. McDaniels	BRK	20	SF	14.4	9.4	4.9	45.5
Doug McDermott	TOT	66	SF	6.6	6.4	5.9	44.7
Doug McDermott	CHI	44	SF	7.4	6.5	6.5	44.5
Doug McDermott	OKC	22	SF	4.4	6.3	4.4	45.2
JaVale McGee	GSW	77	C	9.8	18.1	3.8	65.2
Rodney McGruder	MIA	78	SG	10.2	7.2	8.8	41.3
Ben McLemore	SAC	61	SG	11.9	6.4	6.9	43
Jordan McRae	CLE	37	SG	7.8	5.7	7.4	38.7
Josh McRoberts	MIA	22	PF	15.9	10.7	18.9	37.3
Jodie Meeks	ORL	36	SG	11.1	5.7	9.3	40.2
Salah Mejri	DAL	73	C	19.6	19.8	2.4	64.2
Jordan Mickey	BOS	25	PF	18.3	13.4	7.1	44.1
Khris Middleton	MIL	29	SF	14.8	8.1	17.5	45
C.J. Miles	IND	76	SF	5.5	7.2	4.1	43.4
Mike Miller	DEN	20	SF	35.2	14.3	18.3	39.1
Patty Mills	SAS	80	PG	13.3	4.6	24.3	43.9
Elijah Millsap	PHO	2	SG	20.2	14.2	5.6	14.299999999999999
Paul Millsap	ATL	69	PF	12.1	12.5	17.9	44.2
Nikola Mirotic	CHI	70	PF	10.4	12.3	6.9	41.3
Greg Monroe	MIL	81	C	14.4	17	17.3	53.300000000000004
E'Twaun Moore	NOP	73	SG	8.7	4.4	13.8	45.7
Marcus Morris	DET	79	SF	7.4	7.8	9.4	41.8
Markieff Morris	WAS	76	PF	11.6	11.7	7.8	45.7
Anthony Morrow	TOT	49	SG	2.2	2.4	5.2	38.9
Anthony Morrow	OKC	40	SG	2.5	2.6	4.5	38.6
Anthony Morrow	CHI	9	SG	0	1.2	10.4	41.4
Donatas Motiejunas	NOP	34	PF	16.3	11.1	10.3	41.3
Timofey Mozgov	LAL	54	C	16.6	13.1	5.9	51.5
Emmanuel Mudiay	DEN	55	PG	16.5	7	21.8	37.7
Shabazz Muhammad	MIN	78	SF	7.6	8.5	3.7	48.199999999999996
Dejounte Murray	SAS	38	PG	22.7	7.4	22.6	43.1
Jamal Murray	DEN	82	SG	12.6	6.7	14	40.400000000000006
Mike Muscala	ATL	70	C	13.1	10.7	11.9	50.4
Larry Nance	LAL	63	PF	12.4	14	9.7	52.6
Shabazz Napier	POR	53	PG	16.7	6.6	19.5	39.900000000000006
Maurice Ndour	NYK	32	PF	11	10.4	3.5	45.300000000000004
Gary Neal	ATL	2	SG	0	3.1	7.1	0
Jameer Nelson	DEN	75	PG	17	5.2	26	44.4
Raul Neto	UTA	40	PG	13.6	5	15.1	45.1
Georges Niang	IND	23	PF	11.9	10.3	7.5	25
Andrew Nicholson	TOT	38	PF	12.7	9.8	4.1	38.7
Andrew Nicholson	WAS	28	PF	11.8	8.3	4.2	39
Andrew Nicholson	BRK	10	PF	14.7	12.9	4	38.2
Joakim Noah	NYK	46	C	19.8	21.3	14.1	49.3
Nerlens Noel	TOT	51	C	12.5	15.9	8.1	59.5
Nerlens Noel	PHI	29	C	12.5	14.1	9	61.1
Nerlens Noel	DAL	22	C	12.4	18	7	57.49999999999999
Lucas Nogueira	TOR	57	C	19.9	12.6	5.4	66
Steve Novak	MIL	8	PF	0	7.9	0	28.599999999999998
Dirk Nowitzki	DAL	54	PF	6.6	14.4	10.6	43.7
Jusuf Nurkic	TOT	65	C	18.6	18.6	13.9	50.7
Jusuf Nurkic	DEN	45	C	18.9	17.8	11.1	50.7
Jusuf Nurkic	POR	20	C	18.2	19.7	17.7	50.8
David Nwaba	LAL	20	SG	10.1	8.5	5	57.99999999999999
Johnny O'Bryant	TOT	11	PF	15.5	13.1	12.7	50
Johnny O'Bryant	DEN	7	PF	15.2	13.2	6.2	46.7
